paper_id,venue,year,title_acronym_count,title_word_count,title_acronym_density,abstract_acronym_count,abstract_word_count,abstract_acronym_density,title_acronyms,abstract_acronyms,arxiv_primary_category
1987_0a5209deb79dc584d8ddb41a792d8549,neurips,1987,0,5,0.0,2,108,1.8519,,FIR|VLSI,
1987_069a002768bcb31509d4901961f23b3c,neurips,1987,1,12,8.3333,2,156,1.2821,SIMD,SIMD|SIMD,
1987_21ac0a2e346b1e5b77b3b61ee63eaae3,neurips,1987,0,6,0.0,0,327,0.0,,,
1987_35ab33f5f9a61426560675e75c14cc0b,neurips,1987,0,0,0.0,0,359,0.0,,,
1987_0cafb7890f6a7d4de65507d5bb7e0187,neurips,1987,0,4,0.0,0,109,0.0,,,
1987_099268c3121d49937a67a052c51f865d,neurips,1987,0,9,0.0,0,0,0.0,,,
1987_317fd294bfd5c40816ce48bae30b1d4c,neurips,1987,0,7,0.0,1,92,1.087,,DCPS,
1987_2ff175df3b37981e4ea5aab357043d82,neurips,1987,0,8,0.0,0,137,0.0,,,
1987_0316d8d63a0c252a3ec57921d7d2429b,neurips,1987,0,11,0.0,0,98,0.0,,,
1987_09c653c3ae9d116e5f288ff988283a06,neurips,1987,0,4,0.0,0,218,0.0,,,
1987_25a3192c804d6b1c7d309c0155d3aa1a,neurips,1987,0,3,0.0,0,59,0.0,,,
1987_03004620ea802b9118dd44d69f07af56,neurips,1987,0,4,0.0,0,159,0.0,,,
1987_3c5882a72c072a68dc50d4091eae11df,neurips,1987,1,15,6.6667,4,119,3.3613,SDM,SDM|SDM|SDM|SDM,
1987_2f9b1b6b29361118f630783c19891ea0,neurips,1987,0,19,0.0,1,157,0.6369,,VLSI,
1987_0e65cd5d77a5e8b2d1f9ab31ba50b49b,neurips,1987,0,5,0.0,0,72,0.0,,,
1987_2c929ca7263d51b38312797c9a9a6358,neurips,1987,0,9,0.0,1,115,0.8696,,CYCLES,
1987_1ccc3bfa05cb37b917068778f3c4523a,neurips,1987,1,7,14.2857,4,128,3.125,MURPHY,MURPHY|MURPHY|MURPHY|MURPHY,
1987_03f8faa47a2e9614453e50aaf8d7f278,neurips,1987,0,0,0.0,1,331,0.3021,,INTRODUcnON,
1987_1eb34d662b67a14e3511d0dfd78669be,neurips,1987,0,10,0.0,0,79,0.0,,,
1987_20a5e2274bcb5ea174f03f9ce1487900,neurips,1987,0,16,0.0,0,187,0.0,,,
1987_523f87e9d08e6071a3bbd150e6da40fb,neurips,1987,0,4,0.0,2,105,1.9048,,VLSI|MHz,
1987_4b613e438a6b3842f77056e5b4c9b42e,neurips,1987,0,8,0.0,4,364,1.0989,,NJ|OOC|CDMA|OOC,
1987_678e209691cd37f145a5502695378bac,neurips,1987,0,5,0.0,0,81,0.0,,,
1987_6ad10c3a760cfad3e5d1fa1ddaefdec2,neurips,1987,0,11,0.0,1,124,0.8065,,VLSI,
1987_5190e987c46a346974e351f96997d640,neurips,1987,0,8,0.0,0,121,0.0,,,
1987_3d8edd573b5b21fede5d98ecee0f6382,neurips,1987,0,0,0.0,0,110,0.0,,,
1987_4dd1a7279a8cfeea2660fbc34f02a2bc,neurips,1987,0,6,0.0,0,144,0.0,,,
1987_6270a15843a2e06a95d3e3ad8b489e4b,neurips,1987,0,8,0.0,0,62,0.0,,,
1987_3ed923f9f88108cb066c6568d3df2666,neurips,1987,0,6,0.0,1,104,0.9615,,MAP,
1987_48152e80d1b9822ce18941eb437f1cba,neurips,1987,0,8,0.0,0,57,0.0,,,
1987_58b244eaff03de43ae7db44c4e787105,neurips,1987,0,6,0.0,6,347,1.7291,,CA|ABSlRACT|EEG|EEG|OB|OB,
1987_4a420924d20bc025ebb37849169e6ebd,neurips,1987,0,7,0.0,2,334,0.5988,,NYNEX|NY,
1987_4878a0527a93d431d2637338f51cb4af,neurips,1987,0,12,0.0,0,0,0.0,,,
1987_68ba979a6eef19c1fa7771e6582185bc,neurips,1987,0,10,0.0,0,162,0.0,,,
1987_71996f80223a3e89a5bd0139908097db,neurips,1987,0,12,0.0,0,0,0.0,,,
1987_5b47430e24a5a1f9fe21f0e8eb814131,neurips,1987,0,5,0.0,0,181,0.0,,,
1987_6c44dc73014d66ba49b28d483a8f8b0d,neurips,1987,0,0,0.0,0,51,0.0,,,
1987_650e2245aa3513ed517f4cf1b3d58e06,neurips,1987,0,9,0.0,0,121,0.0,,,
1987_77cdf4ffbd2afd02541e02533ec56820,neurips,1987,0,9,0.0,0,83,0.0,,,
1987_676638b91bc90529e09b22e58abb01d6,neurips,1987,0,8,0.0,2,338,0.5917,,AT&T|NJ,
1987_9412531719be7ccf755c4ff98d0969dc,neurips,1987,0,6,0.0,0,81,0.0,,,
1987_7cc2b68825046ade9b4a2f3b1dbd675b,neurips,1987,0,6,0.0,1,96,1.0417,,VLCN,
1987_79c36fe64e04b80fc44845bb9fe73242,neurips,1987,0,10,0.0,6,140,4.2857,,EPSP|EPSP|EPSP|EPSP|EPSP|EPSP,
1987_8081be7b20e6ddb1a26c2786da98e137,neurips,1987,0,7,0.0,1,353,0.2833,,PRELIMINARY,
1987_8af873095176650d4c5e738e35383498,neurips,1987,0,8,0.0,0,145,0.0,,,
1987_875578931a159790107a9184e39a67a4,neurips,1987,0,5,0.0,0,0,0.0,,,
1987_9db64c20dee0011899dfdf200e61ef35,neurips,1987,0,7,0.0,5,137,3.6496,,NMOSFET|CMOS|NMOSFET|FET|CMOS,
