metric,label,r_pooled,r_within,Gemma-3-27B-Instruct,Gemma-4-31B-Instruct,Llama-3.1-8B-Instruct,Mistral-7B-Instruct,Mixtral-8x7B-Instruct,Qwen2.5-32B-Instruct
avg_sentence_length,Sentence length,-0.1707699428882753,-0.16553921739656344,-0.13516708951658843,-0.16806620082127702,-0.08954557809940593,-0.059184459733299465,-0.15573785501673582,-0.16428222732270245
linsear_write,Linsear Write,-0.16485437593712593,-0.1791500239169018,-0.13296599640555806,-0.17805815713993,-0.08082337830091385,-0.07022831546417942,-0.12804130562335111,-0.14578813204708566
parse_depth,Parse depth,-0.14605894163046337,-0.13980258902097384,-0.0777897051860121,-0.12551650409499077,-0.09138333481496931,-0.07788897930241966,-0.12512700892317352,-0.1402972936638412
gunning_fog,Gunning Fog,-0.13448396807414795,-0.17547676163398823,-0.12382865889298614,-0.16210425701279496,-0.03591902692652214,-0.06240276996054116,-0.10308410958145986,-0.10701668808802217
flesch_kincaid,Flesch-Kincaid,-0.13077326816733612,-0.17222956053317165,-0.1246730010524785,-0.15725077460969564,-0.030156520101257803,-0.05854629858550854,-0.10193221556939765,-0.11139064880336755
smog,SMOG,-0.12588784200946468,-0.1640330548802219,-0.12037484542181391,-0.15547585631993688,-0.029147526017615503,-0.05280401925825552,-0.09769875534544864,-0.10199411129442373
ari,ARI,-0.1258460476108363,-0.1891441887726223,-0.12042071653761484,-0.16479365589875375,-0.028536190345499635,-0.05621947999925247,-0.08523524880855204,-0.14012518076591302
spache,Spache,-0.10860366872369315,-0.14379705988320868,-0.11596122983762185,-0.13685044048750739,-0.021091721326579157,-0.03594689334326749,-0.09028109712466555,-0.09561315692922855
rix,RIX,-0.0974526474898276,-0.13516765823128105,-0.09924314520832483,-0.12884117002795725,-0.00900535833520484,-0.03363946731219362,-0.07679796265089367,-0.0915739123017586
powers_sumner_kearl,Powers-Sumner-Kearl,-0.08704018356461445,-0.14243185854716237,-0.09536832774702021,-0.12200463905630314,0.00366477740550381,-0.04752362970611159,-0.057352500474776746,-0.06503560276720045
passive_rate,Passive rate,-0.06393782600245264,-0.021725661631116708,-0.05978476385686532,-0.04854377994541146,-0.04501778866804754,-0.012463859009871714,-0.07626939779388701,-0.017192975028066156
lix,LIX,-0.053762773939047916,-0.10621713593160023,-0.069432110595079,-0.09409665632766308,0.02509369554055471,-0.019587071437976104,-0.03349433013125587,-0.050688147901405675
ttr,Type-token ratio,-0.04252321225529686,-0.017329190158527012,0.01312795109798071,-0.0453721577833247,-0.08704718524657647,-0.05062430063933632,-0.0012107865974283118,0.01262403410372463
dale_chall,Dale-Chall,-0.025570791464456823,-0.09656464950993304,-0.05384093223029723,-0.09315107551757905,0.03502039783317266,-0.0032010354852640157,0.014260557325281982,-0.04024627514986892
clauses_per_sent,Clauses/sentence,-0.01382789363486543,-0.02869216926656335,-0.033505326690354366,-0.018285172841777077,-0.004701629869028705,0.030791592310033086,-0.03469678448846273,-0.054816516809313556
num_per_100,Numbers,-0.000271968043716655,-0.0035362766308994174,0.013708321888737173,0.017316553906806673,-0.00788588534452072,-0.004785022718604577,0.01015898798253335,-0.06840727354537372
has_narrator,Active narration,3.4937717271852855e-05,-0.00931718214073843,-0.002176585596759699,0.0032424473729556233,0.010280298531633399,0.005049905510067722,-0.012901574402565865,-0.021552222279621894
avg_syllables_per_word,Syllables/word,0.001300533499992339,-0.06044356060005247,-0.0316074455158918,-0.04063214193495711,0.05827028861130565,-0.016481369242486853,0.02384569190872345,0.020069184140988437
coleman_liau,Coleman-Liau,0.03511904227987219,-0.04456697442151289,-0.015632872489880094,-0.02812577213470384,0.08450968210030321,0.012060617004493353,0.058098051401142915,0.025903367824068636
hedging_per_100,Hedging,0.05268006217769412,0.047819327294179814,0.022310332865550515,0.045978498584068085,0.055399189127428215,0.04663980144298868,0.031009569337962544,0.034854294912144396
flesch_ease,Flesch ease,0.06462643673528148,0.12392703106203529,0.07944409316691979,0.10246888444850681,-0.01872276527349864,0.04042875970169526,0.03584874983319717,0.04245492856669377
noun_chunks_per_100,Noun chunks,0.06795295210603336,0.05693615071304072,0.030478034005628516,0.049799016220028906,0.061044164085590845,0.034436890179453374,0.06600553160156687,0.051444186872041074
acronym_density,Acronym density,0.07421176337632385,0.030380007304737798,-0.004578431538204114,-0.03766649477964981,0.06225348111479016,0.094307327213948,0.13105073311580231,-0.0005625446536678554
forcast,FORCAST,0.09466131850407167,0.03895026564899021,0.027190685114327567,0.05361542582679692,0.10860393753497094,0.04677706114314974,0.08791099409933445,0.0849915714632955
signposting_per_100,Signposting,0.10118357722613064,0.07334245732141559,0.02975453672831733,0.0611397644357083,0.11402588926130616,0.07404305414474652,0.08221999634217737,0.06303767915942735
noun_per_100,Noun density,0.1534246824246433,0.1402786762063975,0.08810410629509488,0.1318431360705398,0.1154018857207114,0.09147243706353027,0.11696365603444411,0.14109091277785887
np_density,NP density,0.171537205832031,0.17098902511567202,0.14462994436777843,0.13966496945558493,0.07741363261890861,0.12168785976322355,0.1437570155300541,0.12801686730591258
hype_total_per_100,Sensational language,0.19956156027009123,0.1607373166128017,0.09263466583603482,0.15249792614969643,0.1639907164887151,0.12851674012380204,0.17825666784861058,0.1285435688987429
verb_per_100,Verb density,0.23156292339016624,0.209920574650979,0.11971331400698679,0.19404227846522415,0.16364019496209278,0.16925721262044371,0.1658584019337793,0.2059194397785664
