year,avg_z,std_z,n_models
1987,0.289315,1.518682,6
1988,1.146188,0.609159,6
1989,0.531733,0.932781,6
1990,-0.604292,0.391136,6
1991,0.379826,0.862534,6
1992,-0.037329,0.911892,6
1993,0.981853,0.709486,6
1994,0.228666,0.664196,6
1995,0.241581,1.223891,6
1996,-0.705017,0.499868,6
1997,0.022959,0.480152,6
1998,-0.661676,1.127781,6
1999,-1.111967,0.516897,6
2000,-0.180894,0.74278,6
2001,-1.124553,0.28754,6
2002,-1.366297,0.821827,6
2003,0.338599,1.050387,6
2004,-0.409107,0.603687,6
2005,-0.361576,0.765286,6
2006,0.002775,0.285635,6
2007,-0.523727,0.828441,6
2008,0.240192,0.603037,6
2009,0.096264,0.235582,6
2010,-0.124119,0.886818,6
2011,-0.262207,0.788023,6
2012,-0.538772,0.969679,6
2013,-0.566756,0.473748,6
2014,-1.058728,0.705402,6
2015,-0.513332,0.81269,6
2016,0.078087,0.586997,6
2017,0.792303,0.78719,6
2018,1.059753,0.278029,6
2019,0.466825,0.658518,6
2020,0.781843,0.680101,6
2021,0.914109,0.796753,6
2022,1.557477,0.818037,6
2023,2.950568,0.83886,6
2024,3.984152,1.040218,6
