year,avg_z,std_z,n_models
1987,0.65503,0.733591,6
1988,0.449428,1.466607,6
1989,0.731501,1.010218,6
1990,0.568678,1.289352,6
1991,0.846159,1.004494,6
1992,0.111022,0.931452,6
1993,0.916385,0.986948,6
1994,0.579578,0.676814,6
1995,0.063315,0.901401,6
1996,-0.387716,0.980376,6
1997,0.288976,0.641192,6
1998,-0.556522,0.536633,6
1999,-0.19541,1.137555,6
2000,-0.173395,0.388946,6
2001,-0.997325,0.555583,6
2002,-1.0586,1.058219,6
2003,0.156201,1.064979,6
2004,-0.163863,0.471865,6
2005,0.112889,1.01773,6
2006,0.329247,0.839314,6
2007,-0.322866,0.550182,6
2008,-0.173089,1.117882,6
2009,-0.351018,0.609078,6
2010,-0.30905,0.555791,6
2011,-0.463503,0.84667,6
2012,-0.974068,0.709642,6
2013,-1.116059,0.660854,6
2014,-1.122655,0.700643,6
2015,-0.647887,0.871226,6
2016,-0.300222,0.556603,6
2017,0.479516,0.821789,6
2018,0.668962,0.300642,6
2019,0.204976,0.656892,6
2020,0.481653,0.737496,6
2021,0.515374,1.004138,6
2022,1.154357,0.788765,6
2023,2.363262,0.90473,6
2024,3.263079,0.91229,6
