year,avg_z,std_z,n_models
1987,-0.046759,1.798515,6
1988,0.290737,1.343519,6
1989,-0.114429,0.622502,6
1990,0.060306,1.478095,6
1991,0.399832,1.111821,6
1992,-0.617145,0.81586,6
1993,0.511881,0.87535,6
1994,0.049014,0.706454,6
1995,-0.412118,1.256888,6
1996,-0.240519,0.93799,6
1997,0.239031,0.841715,6
1998,-1.15792,0.460129,6
1999,0.020169,0.814495,6
2000,-0.151609,0.502473,6
2001,-0.818956,0.276362,6
2002,-1.491599,0.60618,6
2003,0.014378,0.842354,6
2004,0.024146,0.763977,6
2005,-0.060394,0.539543,6
2006,0.581736,0.658047,6
2007,-0.048893,0.623876,6
2008,0.063889,0.783694,6
2009,0.044797,0.240331,6
2010,0.132541,0.442727,6
2011,-0.226194,0.833843,6
2012,-0.372969,0.708211,6
2013,-0.719257,0.807059,6
2014,-0.660537,0.747927,6
2015,-0.407371,0.952921,6
2016,0.080065,0.630241,6
2017,0.919229,0.56865,6
2018,0.84911,0.611407,6
2019,0.528371,0.814896,6
2020,0.61098,0.821918,6
2021,0.793654,1.336635,6
2022,1.3328,1.247021,6
2023,2.513952,1.150407,6
2024,3.29702,1.470286,6
