year,neurips
1987,16.453933333333335
1988,15.70295744680851
1989,16.496574257425742
1990,15.802433566433567
1991,15.500736111111111
1992,15.826897637795277
1993,15.81043670886076
1994,16.147785714285714
1995,16.361651315789473
1996,16.425236842105264
1997,16.02390666666667
1998,16.02373509933775
1999,16.0079
2000,15.943394736842109
2001,15.506233502538072
2002,16.615140096618358
2003,16.27111111111111
2004,16.377130434782607
2005,16.801743961352656
2006,16.958848039215685
2007,16.921967741935482
2008,17.303984
2009,17.33253816793893
2010,17.3781095890411
2011,17.52804248366013
2012,17.55182016348774
2013,17.800516666666667
2014,17.623973236009732
2015,17.934017369727048
2016,17.732036971830986
2017,18.009597345132743
2018,18.21631150793651
2019,18.117293622985283
2020,18.415016859852475
2021,18.56595115681234
2022,18.681901552575862
2023,18.999327683615817
2024,19.297360560872463
2025,20.52876335222394
