year,neurips
1987,21.750233333333338
1988,21.403340425531916
1989,22.597237623762375
1990,21.233062937062936
1991,20.928930555555556
1992,21.068748031496064
1993,21.93736075949367
1994,22.13733571428571
1995,22.82961842105263
1996,23.190421052631574
1997,22.56836
1998,22.607774834437084
1999,22.31318
2000,21.827763157894736
2001,22.016040609137058
2002,23.081927536231884
2003,22.51827272727273
2004,22.63926086956522
2005,22.781381642512077
2006,22.795
2007,22.77817050691244
2008,22.859936
2009,22.74853435114504
2010,23.00796917808219
2011,23.121277777777777
2012,22.875463215258858
2013,23.485338888888887
2014,22.868430656934304
2015,22.972106699751865
2016,23.067545774647886
2017,23.28601179941003
2018,23.1201746031746
2019,22.960296426068677
2020,23.096977344573236
2021,23.051170094258783
2022,22.99703034580099
2023,22.60034293785311
2024,22.208362118851547
2025,22.219339343980767
