year,neurips
1987,1.9034666666666669
1988,1.8573510638297872
1989,1.8634257425742573
1990,1.8589230769230771
1991,1.8509930555555556
1992,1.8559212598425197
1993,1.8394050632911392
1994,1.851242857142857
1995,1.833625
1996,1.8393157894736845
1997,1.8495266666666663
1998,1.8402781456953643
1999,1.86192
2000,1.856342105263158
2001,1.8316954314720812
2002,1.8683333333333336
2003,1.8556262626262623
2004,1.8566135265700483
2005,1.891792270531401
2006,1.8935245098039215
2007,1.891331797235023
2008,1.912948
2009,1.9133625954198472
2010,1.9101061643835615
2011,1.909637254901961
2012,1.9249564032697544
2013,1.9251083333333332
2014,1.9238467153284673
2015,1.936213399503722
2016,1.9259595070422535
2017,1.9310752212389384
2018,1.9441140873015872
2019,1.936283111422565
2020,1.9478582718651212
2021,1.955223650385604
2022,1.953504587155963
2023,1.989238418079096
2024,2.0204188738036946
2025,2.088616692426584
