year,neurips
1987,15.3109
1988,14.485851063829788
1989,14.848495049504953
1990,14.68037762237762
1991,14.54384027777778
1992,14.724897637795276
1993,14.31906329113924
1994,14.650264285714284
1995,14.426565789473685
1996,14.45528289473684
1997,14.365286666666668
1998,14.271801324503311
1999,14.539773333333333
2000,14.600822368421053
2001,13.958020304568528
2002,14.69824154589372
2003,14.556368686868687
2004,14.591014492753624
2005,15.120024154589371
2006,15.344014705882351
2007,15.230285714285715
2008,15.673592
2009,15.751293893129771
2010,15.649863013698631
2011,15.708284313725487
2012,15.864038147138965
2013,15.836516666666666
2014,15.960895377128953
2015,16.21625310173697
2016,15.958343309859156
2017,16.12119174041298
2018,16.450539682539684
2019,16.387100210231253
2020,16.656881981032665
2021,16.806947729220223
2022,16.921086450247
2023,17.544662146892655
2024,18.1132584019586
2025,19.50858938691396
