year,neurips
1987,12.701422222222222
1988,12.668925531914892
1989,12.79529702970297
1990,12.716867132867131
1991,12.757736111111113
1992,12.845464566929136
1993,12.83072151898734
1994,12.912764285714283
1995,12.877111842105265
1996,12.71507894736842
1997,12.652073333333332
1998,12.828006622516556
1999,12.662673333333334
2000,12.723302631578948
2001,12.604208121827412
2002,12.841599033816424
2003,12.704393939393938
2004,12.71046376811594
2005,12.77755072463768
2006,12.687088235294118
2007,12.61236866359447
2008,12.707852
2009,12.72358778625954
2010,12.614979452054795
2011,12.631401960784313
2012,12.733384196185286
2013,12.64990277777778
2014,12.73852798053528
2015,12.745094292803971
2016,12.726725352112677
2017,12.76034808259587
2018,12.828924603174604
2019,12.803262088297128
2020,12.900513698630135
2021,12.98385175664096
2022,13.038118560338743
2023,13.296009604519774
2024,13.571100155797907
2025,14.086031942297785
