year,neurips
1987,23.726655555555553
1988,27.97662765957447
1989,26.25212871287129
1990,28.019384615384617
1991,28.996298611111108
1992,28.44207874015748
1993,28.95425949367089
1994,27.7465
1995,28.53720394736842
1996,27.69046052631579
1997,27.45858
1998,28.20094039735099
1999,26.670893333333332
2000,27.630934210526316
2001,29.52648730964467
2002,25.345164251207727
2003,26.992575757575757
2004,26.7858309178744
2005,23.667227053140095
2006,23.50593137254902
2007,23.709308755760368
2008,21.792240000000003
2009,21.87735877862595
2010,21.88654109589041
2011,21.809885620915033
2012,20.765727520435966
2013,20.134783333333335
2014,20.866070559610705
2015,19.71267741935484
2016,20.484019366197185
2017,19.83030088495575
2018,18.89594642857143
2019,19.721046951646812
2020,18.60275658587987
2021,18.026012853470437
2022,18.2268630910374
2023,15.606274293785312
2024,13.366747162252391
2025,7.58537626652928
