year,neurips
1987,15.353244444444444
1988,14.67431914893617
1989,15.21150495049505
1990,14.626132867132863
1991,14.41425
1992,14.52632283464567
1993,14.670645569620254
1994,14.888792857142857
1995,14.950506578947367
1996,15.15820394736842
1997,15.035993333333332
1998,14.942245033112584
1999,15.082493333333332
2000,14.828006578947369
2001,14.61036040609137
2002,15.458371980676327
2003,15.088570707070708
2004,15.147468599033816
2005,15.617763285024154
2006,15.643627450980391
2007,15.61105069124424
2008,15.898804
2009,15.859248091603051
2010,15.922434931506848
2011,15.961261437908496
2012,16.0458446866485
2013,16.285341666666667
2014,16.030060827250608
2015,16.21673945409429
2016,16.132843309859155
2017,16.278290560471977
2018,16.36742162698413
2019,16.212617379117027
2020,16.402566912539516
2021,16.471627677806342
2022,16.43015278757939
2023,16.69712033898305
2024,16.912116848430895
2025,17.72121844410098
