year,neurips
1987,12.511077777777778
1988,12.26431914893617
1989,12.230267326732674
1990,12.261412587412588
1991,12.328041666666667
1992,12.28684251968504
1993,12.161708860759491
1994,12.239614285714286
1995,12.163572368421052
1996,12.147572368421052
1997,12.17904
1998,12.09064238410596
1999,12.169206666666668
2000,12.171756578947369
2001,12.081243654822336
2002,12.258202898550724
2003,12.139838383838384
2004,12.226937198067631
2005,12.382202898550725
2006,12.41475
2007,12.37758525345622
2008,12.549423999999998
2009,12.548076335877862
2010,12.499489726027395
2011,12.518153594771242
2012,12.609790190735694
2013,12.580669444444444
2014,12.58423114355231
2015,12.621357320099255
2016,12.636582746478872
2017,12.616041297935103
2018,12.730350198412696
2019,12.632594954449894
2020,12.709601159114856
2021,12.761182519280204
2022,12.756080804516584
2023,12.979607627118645
2024,13.19192410416203
2025,13.64544787910012
