year,neurips
1987,18.258577777777777
1988,17.608382978723405
1989,18.217257425742577
1990,17.410797202797205
1991,17.20488888888889
1992,17.376511811023622
1993,17.684113924050635
1994,17.78492857142857
1995,17.944513157894736
1996,18.033368421052632
1997,18.158046666666667
1998,17.98876821192053
1999,18.22968
2000,17.888138157894737
2001,17.623634517766497
2002,18.633193236714977
2003,18.22368686868687
2004,18.096599033816425
2005,18.784531400966184
2006,18.66247549019608
2007,18.73247926267281
2008,19.04032
2009,18.968874045801527
2010,19.03827397260274
2011,19.059437908496733
2012,19.186482288828337
2013,19.436430555555553
2014,19.109014598540146
2015,19.319843672456575
2016,19.147091549295777
2017,19.39738790560472
2018,19.387579365079365
2019,19.25646811492642
2020,19.418434141201267
2021,19.49273907455013
2022,19.42245589273112
2023,19.84835028248588
2024,20.158889383485423
2025,21.178792203331614
