year,neurips
1987,15.961944444444445
1988,14.94348936170213
1989,16.11539603960396
1990,15.081006993006993
1991,14.807833333333331
1992,15.365905511811023
1993,15.408012658227848
1994,15.544257142857145
1995,16.195111842105263
1996,16.243624999999998
1997,15.885653333333334
1998,15.984317880794702
1999,16.1187
2000,15.308802631578947
2001,15.183086294416244
2002,16.163734299516907
2003,15.651641414141414
2004,15.713270531400966
2005,16.2426038647343
2006,15.717960784313725
2007,15.987377880184331
2008,16.060028
2009,15.849664122137405
2010,16.043674657534247
2011,16.190078431372548
2012,15.996888283378746
2013,16.647294444444444
2014,16.11447201946472
2015,16.147129032258064
2016,16.1518926056338
2017,16.234382005899704
2018,16.316774801587304
2019,16.169932025227748
2020,16.228874604847206
2021,16.258214652956298
2022,16.34502787579393
2023,16.464123728813558
2024,16.490867794346762
2025,17.240155589902113
