year,neurips
1987,59.45746666666666
1988,57.20878723404255
1989,59.03973267326732
1990,57.914132867132864
1991,57.09313888888889
1992,57.71681889763779
1993,57.56694303797468
1994,57.73958571428572
1995,58.19996052631579
1996,58.30401315789473
1997,57.5562
1998,56.97060927152318
1999,57.78236
2000,57.33617763157895
2001,56.18035532994924
2002,59.08104830917875
2003,57.58288383838384
2004,57.97776328502416
2005,59.4083768115942
2006,59.99100000000001
2007,59.66951612903226
2008,61.018947999999995
2009,60.97524809160305
2010,60.64837671232877
2011,60.91039215686275
2012,61.25815803814714
2013,61.83579722222222
2014,61.47574939172749
2015,61.84733250620347
2016,61.518299295774646
2017,62.101126843657816
2018,62.63050396825397
2019,62.02614856341976
2020,62.76925026343519
2021,62.89773993144816
2022,62.97267395906845
2023,64.24652259887006
2024,65.14217538393056
2025,68.34395260175168
