year,neurips
1987,8.149977777777778
1988,7.913340425531915
1989,8.03379207920792
1990,7.907111888111888
1991,7.847520833333334
1992,7.880566929133858
1993,7.873145569620252
1994,7.942757142857143
1995,7.916256578947368
1996,7.970190789473684
1997,7.96822
1998,7.929192052980133
1999,8.00468
2000,7.941822368421052
2001,7.844197969543147
2002,8.093830917874396
2003,7.99220707070707
2004,8.006053140096618
2005,8.177115942028985
2006,8.186088235294118
2007,8.174760368663595
2008,8.279776
2009,8.272629770992367
2010,8.2781301369863
2011,8.284882352941176
2012,8.33534059945504
2013,8.383452777777778
2014,8.32976399026764
2015,8.394205955334987
2016,8.354948943661972
2017,8.395150442477876
2018,8.441598214285714
2019,8.393503854239665
2020,8.456800316122234
2021,8.486743359040275
2022,8.474696189131969
2023,8.606442937853108
2024,8.717788782550635
2025,9.028973553151298
