year,neurips
1987,8.245922222222223
1988,7.600191489361702
1989,8.220633663366337
1990,7.781965034965034
1991,7.599597222222223
1992,7.693283464566929
1993,7.662341772151899
1994,7.832571428571428
1995,8.020052631578947
1996,8.04267105263158
1997,7.941413333333333
1998,7.689205298013245
1999,7.86068
2000,7.720072368421053
2001,7.556619289340102
2002,8.294618357487924
2003,7.8842323232323235
2004,7.939608695652174
2005,8.311671497584541
2006,8.448823529411765
2007,8.38010138248848
2008,8.692476000000001
2009,8.655545801526719
2010,8.620054794520549
2011,8.723411764705883
2012,8.743553133514986
2013,8.966911111111111
2014,8.79205109489051
2015,8.872982630272952
2016,8.835061619718308
2017,9.009733038348084
2018,9.092928571428573
2019,8.95081359495445
2020,9.135612750263435
2021,9.15121593830334
2022,9.153354622441778
2023,9.373623446327684
2024,9.48975183618963
2025,10.218609823115232
