year,neurips
1987,16.229533333333332
1988,15.718063829787235
1989,16.076851485148513
1990,15.53493006993007
1991,15.409270833333332
1992,15.54684251968504
1993,15.65567088607595
1994,15.836921428571427
1995,15.836
1996,15.90792105263158
1997,16.115826666666667
1998,15.8731059602649
1999,16.204633333333334
2000,15.946019736842103
2001,15.757817258883248
2002,16.451038647342994
2003,16.172621212121214
2004,16.067893719806765
2005,16.569260869565216
2006,16.53222549019608
2007,16.567617511520737
2008,16.7716
2009,16.745179389312977
2010,16.800301369863014
2011,16.792781045751635
2012,16.89157765667575
2013,17.057141666666666
2014,16.836693430656936
2015,16.964585607940446
2016,16.860540492957746
2017,17.04177138643068
2018,17.031835317460317
2019,16.94972249474422
2020,17.08253582718651
2021,17.126759640102826
2022,17.075615384615386
2023,17.326299435028247
2024,17.492961940796793
2025,18.106357032457495
