year,neurips
1987,7.721644444444444
1988,7.558893617021277
1989,7.679623762376238
1990,7.516713286713287
1991,7.461229166666666
1992,7.472740157480315
1993,7.561189873417721
1994,7.625135714285714
1995,7.640914473684211
1996,7.702394736842105
1997,7.613946666666667
1998,7.600317880794702
1999,7.600300000000001
2000,7.521815789473685
2001,7.4477817258883245
2002,7.775840579710144
2003,7.602171717171717
2004,7.662009661835749
2005,7.758285024154589
2006,7.744519607843138
2007,7.710511520737327
2008,7.843552
2009,7.846820610687024
2010,7.827421232876712
2011,7.847460784313725
2012,7.877795640326975
2013,7.9242
2014,7.861309002433091
2015,7.8655558312655085
2016,7.903058098591549
2017,7.932778761061947
2018,7.952069444444444
2019,7.883978276103714
2020,7.950972602739726
2021,7.967007712082262
2022,7.963466478475652
2023,8.05258220338983
2024,8.131237480525261
2025,8.411013738622703
